hhid,def_kcal_ae_hh,micro_req_count,micro_rec_count,micro_req_count_pct,micro_rec_count_pct
2093848112,1,8,4,0.666666666667,0.333333333333
2093848113,1,1,1,0.0833333333333,0.0833333333333
2093848115,1,0,0,0.0,0.0
2093848116,1,4,4,0.333333333333,0.333333333333
2093848117,1,4,1,0.333333333333,0.0833333333333
2093848118,0,9,8,0.75,0.666666666667
2093848119,1,6,4,0.5,0.333333333333
2093848120,1,0,0,0.0,0.0
2093848121,1,0,0,0.0,0.0
2093849100,1,0,0,0.0,0.0
2093849101,1,0,0,0.0,0.0
2093849103,1,4,1,0.333333333333,0.0833333333333
2093849104,1,0,0,0.0,0.0
2093849105,1,3,2,0.25,0.166666666667
2093849106,1,3,2,0.25,0.166666666667
2093849107,0,11,10,0.916666666667,0.833333333333
2093849108,1,1,0,0.0833333333333,0.0
2093849109,1,0,0,0.0,0.0
2093849110,1,0,0,0.0,0.0
2093849111,1,6,3,0.5,0.25
2093849113,0,3,2,0.25,0.166666666667
2093849114,1,0,0,0.0,0.0
2093849115,0,3,3,0.25,0.25
2093849116,1,2,1,0.166666666667,0.0833333333333
2093849117,0,4,3,0.333333333333,0.25
2093849118,0,3,3,0.25,0.25
2093849119,1,3,2,0.25,0.166666666667
2093849120,1,5,3,0.416666666667,0.25
2093849121,1,5,3,0.416666666667,0.25
2093850100,1,8,7,0.666666666667,0.583333333333
2093850101,1,0,0,0.0,0.0
2093850102,1,0,0,0.0,0.0
2093850104,0,10,10,0.833333333333,0.833333333333
2093850106,1,4,2,0.333333333333,0.166666666667
2093850108,1,7,3,0.583333333333,0.25
2093850110,1,8,6,0.666666666667,0.5
2093850111,1,0,0,0.0,0.0
2093850113,1,3,3,0.25,0.25
2093850114,1,0,0,0.0,0.0
2093850115,0,8,6,0.666666666667,0.5
2093850116,1,5,2,0.416666666667,0.166666666667
2093850117,0,1,0,0.0833333333333,0.0
2093850118,1,8,6,0.666666666667,0.5
2093850119,0,4,4,0.333333333333,0.333333333333
2093850120,1,1,1,0.0833333333333,0.0833333333333
2093850121,1,6,6,0.5,0.5
2093851100,0,7,6,0.583333333333,0.5
2093851101,1,0,0,0.0,0.0
2093851102,0,7,6,0.583333333333,0.5
2093851103,0,3,1,0.25,0.0833333333333
